campo,tipo_logico,descripcion,predictor,dominio_observaciones
customerID,string,Identificador sintético único del cliente.,No,No utilizar directamente como predictor.
gender,categorical,Género registrado.,Sí,Female / Male.
SeniorCitizen,integer/binary,Indicador de cliente adulto mayor.,Sí,0 / 1.
Partner,categorical,Indica si el cliente declara pareja.,Sí,Yes / No.
Dependents,categorical,Indica si el cliente declara dependientes.,Sí,Yes / No.
tenure,integer,Meses de permanencia del cliente en la compañía.,Sí,0 a 72.
PhoneService,categorical,Indica si posee servicio telefónico.,Sí,Yes / No.
MultipleLines,categorical,Estado de líneas telefónicas múltiples.,Sí,Yes / No / No phone service.
InternetService,categorical,Tipo de servicio de Internet.,Sí,DSL / Fiber optic / No.
OnlineSecurity,categorical,Servicio de seguridad online.,Sí,Yes / No / No internet service.
OnlineBackup,categorical,Servicio de backup online.,Sí,Yes / No / No internet service.
DeviceProtection,categorical,Servicio de protección de dispositivos.,Sí,Yes / No / No internet service.
TechSupport,categorical,Servicio de soporte técnico.,Sí,Yes / No / No internet service.
StreamingTV,categorical,Servicio de streaming de TV.,Sí,Yes / No / No internet service.
StreamingMovies,categorical,Servicio de streaming de películas.,Sí,Yes / No / No internet service.
Contract,categorical,Modalidad contractual.,Sí,Month-to-month / One year / Two year.
PaperlessBilling,categorical,Facturación electrónica.,Sí,Yes / No.
PaymentMethod,categorical,Método habitual de pago.,Sí,4 categorías.
MonthlyCharges,float,Cargo mensual actual.,Sí,Aproximadamente 18 a 125.
TotalCharges,float con faltantes,Cargos acumulados a lo largo de la relación.,Sí,Puede contener valores faltantes.
Churn,categorical target,Indica si el cliente abandonó el servicio.,Solo histórico,Yes / No.
